Detected 32 cores in 1 packages

Core energy units: a1003
Time_unit:10, Energy_unit: 16, Power_unit: 3
Core 7, energy used: 0.00274658W, Package: 116.5W
Core 8, energy used: 0.0126648W, Package: 116.5W
Core 9, energy used: 0.0126648W, Package: 116.5W
Core 10, energy used: 0.00518799W, Package: 116.258W
Core 11, energy used: 0.00518799W, Package: 116.258W
Core 12, energy used: 0.00335693W, Package: 116.258W
Core 13, energy used: 0.00335693W, Package: 116.258W
Core 14, energy used: 0.00671387W, Package: 116.258W
Core 15, energy used: 0.00671387W, Package: 116.258W
Core sum: 0.10437W, Time: 22.021251
Core 0, energy used: 0.0012207W, Package: 114.405W
Core 1, energy used: 0.0012207W, Package: 114.405W
Core 2, energy used: 0.0012207W, Package: 114.405W
Core 3, energy used: 0.0012207W, Package: 114.405W
Core 4, energy used: 0.00457764W, Package: 114.405W
Core 5, energy used: 0.00457764W, Package: 114.405W
Core 6, energy used: 0.00167847W, Package: 114.405W
Core 7, energy used: 0.00167847W, Package: 114.177W
Core 8, energy used: 0.015564W, Package: 114.177W
Core 9, energy used: 0.015564W, Package: 114.177W
Core 10, energy used: 0.0889587W, Package: 114.177W
Core 11, energy used: 0.0889587W, Package: 114.177W
Core 12, energy used: 0.00167847W, Package: 114.177W
Core 13, energy used: 0.00167847W, Package: 114.177W
Core 14, energy used: 0.00396729W, Package: 114.177W
Core 15, energy used: 0.00396729W, Package: 114.177W
Core sum: 0.237732W, Time: 23.022169
Core 0, energy used: 0.00488281W, Package: 114.219W
Core 1, energy used: 0.00488281W, Package: 114.219W
Core 2, energy used: 0.00366211W, Package: 114.219W
Core 3, energy used: 0.00366211W, Package: 114.219W
Core 4, energy used: 0.00900269W, Package: 114.219W
Core 5, energy used: 0.00900269W, Package: 114.219W
Core 6, energy used: 0.00335693W, Package: 113.991W
Core 7, energy used: 0.00335693W, Package: 113.991W
Core 8, energy used: 0.00808716W, Package: 113.991W
Core 9, energy used: 0.00808716W, Package: 113.991W
Core 10, energy used: 0.00305176W, Package: 113.991W
Core 11, energy used: 0.00305176W, Package: 113.991W
Core 12, energy used: 0.00152588W, Package: 113.991W
Core 13, energy used: 0.00152588W, Package: 113.991W
Core 14, energy used: 0.00396729W, Package: 113.991W
Core 15, energy used: 0.00396729W, Package: 113.991W
Core sum: 0.0750732W, Time: 24.023126
Core 0, energy used: 0.0012207W, Package: 113.897W
Core 1, energy used: 0.0012207W, Package: 113.897W
Core 2, energy used: 0.0012207W, Package: 113.897W
Core 3, energy used: 0.0012207W, Package: 113.897W
Core 4, energy used: 0.0050354W, Package: 113.897W
Core 5, energy used: 0.0050354W, Package: 113.897W
Core 6, energy used: 0.00427246W, Package: 113.897W
Core 7, energy used: 0.00427246W, Package: 113.897W
Core 8, energy used: 0.00747681W, Package: 113.897W
Core 9, energy used: 0.00747681W, Package: 113.897W
Core 10, energy used: 0.00274658W, Package: 113.897W
Core 11, energy used: 0.00274658W, Package: 113.897W
Core 12, energy used: 0.00152588W, Package: 113.897W
Core 13, energy used: 0.00152588W, Package: 113.897W
Core 14, energy used: 0.00396729W, Package: 113.897W
Core 15, energy used: 0.00396729W, Package: 113.897W
Core sum: 0.0549316W, Time: 25.024101
Core 0, energy used: 0.00320435W, Package: 113.944W
Core 1, energy used: 0.00320435W, Package: 113.944W
Core 2, energy used: 0.0012207W, Package: 113.944W
Core 3, energy used: 0.0012207W, Package: 113.944W
Core 4, energy used: 0.0062561W, Package: 113.944W
Core 5, energy used: 0.0062561W, Package: 113.944W
Core 6, energy used: 0.00396729W, Package: 113.944W
Core 7, energy used: 0.00396729W, Package: 113.944W
Core 8, energy used: 0.00946045W, Package: 113.944W
Core 9, energy used: 0.00946045W, Package: 113.944W
Core 10, energy used: 0.00335693W, Package: 113.944W
Core 11, energy used: 0.00335693W, Package: 113.944W
Core 12, energy used: 0.00167847W, Package: 113.944W
Core 13, energy used: 0.00167847W, Package: 113.944W
Core 14, energy used: 0.00396729W, Package: 113.944W
Core 15, energy used: 0.00396729W, Package: 113.944W
Core sum: 0.0662231W, Time: 26.025136
Core 0, energy used: 0.00152588W, Package: 114.043W
Core 1, energy used: 0.00152588W, Package: 114.043W
Core 2, energy used: 0.00152588W, Package: 114.043W
Core 3, energy used: 0.00152588W, Package: 114.043W
Core 4, energy used: 0.0050354W, Package: 114.043W
Core 5, energy used: 0.0050354W, Package: 114.043W
Core 6, energy used: 0.00152588W, Package: 114.043W
Core 7, energy used: 0.00152588W, Package: 114.043W
Core 8, energy used: 0.00961304W, Package: 114.043W
Core 9, energy used: 0.00961304W, Package: 114.043W
Core 10, energy used: 0.00335693W, Package: 114.272W
Core 11, energy used: 0.00335693W, Package: 114.272W
Core 12, energy used: 0.00152588W, Package: 114.272W
Core 13, energy used: 0.00152588W, Package: 114.272W
Core 14, energy used: 0.00320435W, Package: 114.272W
Core 15, energy used: 0.00320435W, Package: 114.272W
Core sum: 0.0546265W, Time: 27.026270
Core 0, energy used: 0.0050354W, Package: 113.994W
Core 1, energy used: 0.0050354W, Package: 113.994W
Core 2, energy used: 0.00366211W, Package: 113.994W
Core 3, energy used: 0.00366211W, Package: 113.994W
Core 4, energy used: 0.00808716W, Package: 113.994W
Core 5, energy used: 0.00808716W, Package: 113.994W
Core 6, energy used: 0.00305176W, Package: 114.222W
Core 7, energy used: 0.00305176W, Package: 114.222W
Core 8, energy used: 0.00930786W, Package: 114.222W
Core 9, energy used: 0.00930786W, Package: 114.222W
Core 10, energy used: 0.00366211W, Package: 114.222W
Core 11, energy used: 0.00366211W, Package: 114.222W
Core 12, energy used: 0.0012207W, Package: 114.222W
Core 13, energy used: 0.0012207W, Package: 114.222W
Core 14, energy used: 0.00289917W, Package: 114.222W
Core 15, energy used: 0.00289917W, Package: 114.222W
Core sum: 0.0738525W, Time: 28.027231
Core 0, energy used: 0.00137329W, Package: 114.095W
Core 1, energy used: 0.00137329W, Package: 114.095W
Core 2, energy used: 0.00152588W, Package: 114.095W
Core 3, energy used: 0.00152588W, Package: 114.095W
Core 4, energy used: 0.0062561W, Package: 114.095W
Core 5, energy used: 0.0062561W, Package: 114.095W
Core 6, energy used: 0.00152588W, Package: 114.095W
Core 7, energy used: 0.00152588W, Package: 114.095W
Core 8, energy used: 0.00778198W, Package: 114.095W
Core 9, energy used: 0.00778198W, Package: 114.095W
Core 10, energy used: 0.00305176W, Package: 114.095W
Core 11, energy used: 0.00305176W, Package: 114.095W
Core 12, energy used: 0.00137329W, Package: 114.095W
Core 13, energy used: 0.00137329W, Package: 114.095W
Core 14, energy used: 0.00274658W, Package: 114.095W
Core 15, energy used: 0.00274658W, Package: 114.095W
Core sum: 0.0512695W, Time: 29.028204
Core 0, energy used: 0.0050354W, Package: 114.171W
Core 1, energy used: 0.0050354W, Package: 114.171W
Core 2, energy used: 0.00152588W, Package: 114.171W
Core 3, energy used: 0.00152588W, Package: 114.171W
Core 4, energy used: 0.00823975W, Package: 114.171W
Core 5, energy used: 0.00823975W, Package: 114.171W
Core 6, energy used: 0.00564575W, Package: 114.171W
Core 7, energy used: 0.00564575W, Package: 114.171W
Core 8, energy used: 0.00778198W, Package: 114.171W
Core 9, energy used: 0.00778198W, Package: 114.171W
Core 10, energy used: 0.00244141W, Package: 114.171W
Core 11, energy used: 0.00244141W, Package: 114.171W
Core 12, energy used: 0.00137329W, Package: 114.171W
Core 13, energy used: 0.00137329W, Package: 114.171W
Core 14, energy used: 0.00274658W, Package: 114.171W
Core 15, energy used: 0.00274658W, Package: 114.171W
Core sum: 0.0695801W, Time: 30.029162
Core 0, energy used: 0.00274658W, Package: 115.671W
Core 1, energy used: 0.00274658W, Package: 115.671W
Core 2, energy used: 0.00442505W, Package: 115.671W
Core 3, energy used: 0.00442505W, Package: 115.671W
Core 4, energy used: 0.00930786W, Package: 115.671W
Core 5, energy used: 0.00930786W, Package: 115.671W
Core 6, energy used: 0.00686646W, Package: 115.671W
Core 7, energy used: 0.00686646W, Package: 115.671W
Core 8, energy used: 0.0106812W, Package: 115.671W
Core 9, energy used: 0.0106812W, Package: 115.671W
Core 10, energy used: 0.00350952W, Package: 115.671W
Core 11, energy used: 0.00350952W, Package: 115.671W
Core 12, energy used: 0.00137329W, Package: 115.671W
Core 13, energy used: 0.00137329W, Package: 115.671W
Core 14, energy used: 0.00274658W, Package: 115.671W
Core 15, energy used: 0.00274658W, Package: 115.671W
Core sum: 0.083313W, Time: 31.030214
Core 0, energy used: 0.0050354W, Package: 114.331W
Core 1, energy used: 0.0050354W, Package: 114.331W
Core 2, energy used: 0.00457764W, Package: 114.331W
Core 3, energy used: 0.00457764W, Package: 114.331W
Core 4, energy used: 0.00961304W, Package: 114.331W
Core 5, energy used: 0.00961304W, Package: 114.331W
Core 6, energy used: 0.00640869W, Package: 114.331W
Core 7, energy used: 0.00640869W, Package: 114.331W
Core 8, energy used: 0.0105286W, Package: 114.331W
