GPU Power (W), Time (S), 
164, 3.201362, 
164, 3.202857, 
164, 3.204342, 
164, 3.205804, 
164, 3.207290, 
155, 3.222545, 
155, 3.224049, 
155, 3.225551, 
155, 3.227022, 
143, 3.240658, 
143, 3.242166, 
143, 3.243629, 
143, 3.245090, 
143, 3.246607, 
153, 3.260042, 
153, 3.261531, 
153, 3.263010, 
153, 3.264494, 
153, 3.265965, 
153, 3.267447, 
146, 3.281100, 
146, 3.282604, 
146, 3.284120, 
146, 3.285583, 
146, 3.287050, 
151, 3.298873, 
151, 3.300341, 
151, 3.301809, 
151, 3.303347, 
151, 3.304840, 
151, 3.306312, 
151, 3.307783, 
146, 3.320511, 
146, 3.321982, 
146, 3.323505, 
146, 3.324965, 
146, 3.326426, 
146, 3.327896, 
161, 3.340959, 
161, 3.342453, 
161, 3.343969, 
161, 3.345510, 
161, 3.347038, 
168, 3.361921, 
168, 3.363462, 
168, 3.364930, 
168, 3.366561, 
168, 3.368059, 
167, 3.382619, 
167, 3.384090, 
167, 3.385601, 
167, 3.387099, 
145, 3.399885, 
145, 3.401354, 
145, 3.402820, 
145, 3.404293, 
145, 3.405809, 
145, 3.407294, 
125, 3.418846, 
125, 3.421220, 
125, 3.422779, 
125, 3.424286, 
125, 3.425804, 
125, 3.427377, 
172, 3.442065, 
172, 3.444298, 
172, 3.445738, 
172, 3.447171, 
172, 3.448613, 
162, 3.462396, 
162, 3.463822, 
162, 3.465246, 
162, 3.466664, 
162, 3.468085, 
133, 3.480425, 
133, 3.481849, 
133, 3.483291, 
133, 3.484718, 
133, 3.486149, 
133, 3.487566, 
166, 3.500497, 
166, 3.501948, 
166, 3.503387, 
166, 3.504825, 
166, 3.506252, 
166, 3.507683, 
146, 3.522780, 
146, 3.524212, 
146, 3.525640, 
146, 3.527066, 
146, 3.528492, 
127, 3.536914, 
127, 3.538393, 
127, 3.539831, 
127, 3.541251, 
127, 3.542676, 
127, 3.544539, 
127, 3.546011, 
127, 3.547447, 
127, 3.548869, 
156, 3.559804, 
156, 3.561306, 
156, 3.562728, 
156, 3.564149, 
156, 3.565568, 
156, 3.567001, 
156, 3.568413, 
161, 3.586042, 
161, 3.587605, 
161, 3.589072, 
160, 3.602194, 
160, 3.603645, 
160, 3.605083, 
160, 3.606509, 
160, 3.607940, 
160, 3.609372, 
119, 3.623353, 
119, 3.625828, 
119, 3.627375, 
119, 3.628964, 
115, 3.638300, 
115, 3.639793, 
115, 3.641237, 
115, 3.642775, 
115, 3.644218, 
115, 3.645671, 
115, 3.647122, 
115, 3.648581, 
101, 3.656406, 
101, 3.657932, 
101, 3.659517, 
101, 3.661099, 
101, 3.662703, 
101, 3.664170, 
101, 3.665637, 
101, 3.667108, 
101, 3.668583, 
102, 3.675732, 
102, 3.677364, 
102, 3.678874, 
102, 3.680401, 
102, 3.681900, 
102, 3.683426, 
102, 3.684968, 
102, 3.687041, 
102, 3.688644, 
116, 3.696635, 
116, 3.698124, 
116, 3.699580, 
116, 3.701032, 
116, 3.702517, 
116, 3.704014, 
116, 3.705491, 
116, 3.706992, 
116, 3.708524, 
116, 3.710083, 
144, 3.718243, 
144, 3.719721, 
144, 3.721192, 
144, 3.722640, 
144, 3.724121, 
144, 3.725628, 
144, 3.727119, 
144, 3.728620, 
144, 3.730212, 
145, 3.741860, 
145, 3.743352, 
145, 3.744860, 
145, 3.746394, 
145, 3.747943, 
145, 3.749489, 
137, 3.758180, 
137, 3.759681, 
137, 3.761182, 
137, 3.762654, 
137, 3.764149, 
137, 3.765663, 
137, 3.767172, 
137, 3.768673, 
137, 3.770224, 
167, 3.781106, 
167, 3.782644, 
167, 3.784175, 
167, 3.785707, 
167, 3.787305, 
167, 3.788845, 
150, 3.807062, 
150, 3.809981, 
143, 3.826143, 
143, 3.829487, 
153, 3.843358, 
153, 3.844928, 
153, 3.846486, 
153, 3.848016, 
153, 3.849570, 
151, 3.862893, 
151, 3.864476, 
151, 3.866187, 
151, 3.867718, 
151, 3.869280, 
151, 3.870823, 
129, 3.883459, 
129, 3.885029, 
129, 3.886583, 
129, 3.888136, 
129, 3.889703, 
143, 3.901661, 
143, 3.903207, 
143, 3.904749, 
143, 3.906290, 
143, 3.907889, 
143, 3.909460, 
143, 3.911032, 
151, 3.923301, 
151, 3.930567, 
149, 3.945220, 
149, 3.950507, 
129, 3.964523, 
129, 3.966455, 
129, 3.967935, 
129, 3.969411, 
129, 3.970978, 
124, 3.979206, 
124, 3.980797, 
124, 3.982331, 
124, 3.983874, 
124, 3.985412, 
124, 3.986947, 
124, 3.988478, 
124, 3.990025, 
141, 4.000785, 
141, 4.002335, 
141, 4.003882, 
141, 4.005417, 
141, 4.006951, 
141, 4.008489, 
141, 4.010021, 
149, 4.024403, 
149, 4.025870, 
149, 4.027326, 
149, 4.028786, 
149, 4.030332, 
150, 4.046412, 
150, 4.047878, 
150, 4.049350, 
150, 4.050831, 
161, 4.067747, 
161, 4.069249, 
161, 4.070725, 
156, 4.089390, 
156, 4.090880, 
159, 4.109323, 
159, 4.110848, 
164, 4.130577, 
160, 4.150384, 
160, 4.151866, 
150, 4.167571, 
150, 4.169049, 
150, 4.170531, 
150, 4.172036, 
152, 4.186655, 
152, 4.188139, 
152, 4.189710, 
152, 4.191253, 
157, 4.209334, 
157, 4.210818, 
161, 4.225872, 
161, 4.227334, 
161, 4.228828, 
161, 4.230730, 
161, 4.232276, 
150, 4.246489, 
150, 4.247973, 
150, 4.249543, 
150, 4.251093, 
150, 4.252564, 
162, 4.266349, 
162, 4.267907, 
162, 4.269382, 
162, 4.270841, 
162, 4.272367, 
168, 4.287181, 
168, 4.288710, 
168, 4.290178, 
168, 4.291638, 
167, 4.307368, 
167, 4.308878, 
167, 4.310424, 
167, 4.311875, 
146, 4.324799, 
146, 4.326283, 
146, 4.327752, 
146, 4.329232, 
146, 4.331168, 
146, 4.332674, 
125, 4.343375, 
125, 4.344834, 
125, 4.346381, 
125, 4.347853, 
125, 4.349319, 
125, 4.350867, 
125, 4.352330, 
174, 4.365885, 
174, 4.367355, 
174, 4.368830, 
174, 4.370284, 
174, 4.371804, 
157, 4.386982, 
157, 4.388458, 
157, 4.389918, 
157, 4.391384, 
157, 4.392843, 
138, 4.405231, 
138, 4.406730, 
138, 4.408188, 
138, 4.409660, 
138, 4.411130, 
138, 4.412599, 
161, 4.424097, 
161, 4.425580, 
161, 4.427032, 
161, 4.428521, 
161, 4.429986, 
161, 4.431607, 
161, 4.433105, 
149, 4.448322, 
149, 4.449786, 
149, 4.451245, 
149, 4.452713, 
125, 4.463804, 
125, 4.465277, 
125, 4.466725, 
125, 4.468244, 
125, 4.469738, 
125, 4.471219, 
125, 4.472691, 
128, 4.484972, 
128, 4.486437, 
128, 4.487909, 
128, 4.489405, 
128, 4.490877, 
128, 4.492347, 
148, 4.504018, 
148, 4.505560, 
148, 4.507028, 
148, 4.508535, 
148, 4.510017, 
148, 4.511474, 
148, 4.512936, 
160, 4.526091, 
160, 4.527577, 
160, 4.529048, 
160, 4.530517, 
160, 4.532031, 
160, 4.533485, 
151, 4.547239, 
151, 4.548712, 
151, 4.550211, 
151, 4.551684, 
151, 4.553150, 
113, 4.561847, 
113, 4.563323, 
113, 4.564817, 
113, 4.566279, 
113, 4.567746, 
113, 4.569191, 
113, 4.570630, 
113, 4.572096, 
113, 4.573589, 
116, 4.581412, 
116, 4.582967, 
116, 4.587826, 
116, 4.589297, 
116, 4.590798, 
116, 4.592298, 
116, 4.593825, 
105, 4.600429, 
105, 4.601967, 
105, 4.603533, 
105, 4.605078, 
105, 4.606578, 
105, 4.608067, 
105, 4.609550, 
105, 4.611112, 
105, 4.612663, 
105, 4.614178, 
114, 4.624855, 
114, 4.627746, 
114, 4.629436, 
114, 4.631052, 
114, 4.632673, 
114, 4.634333, 
139, 4.647845, 
139, 4.649469, 
139, 4.650939, 
139, 4.652410, 
139, 4.654041, 
149, 4.672213, 
149, 4.673677, 
139, 4.690999, 
139, 4.692470, 
139, 4.693966, 
167, 4.712913, 
167, 4.714399, 
148, 4.735938, 
137, 4.753206, 
137, 4.754719, 
144, 4.772958, 
144, 4.774416, 
